t,date,version,fit_id,a,c,fallback_reason,rank_ic,pearson_ic,valid_stocks,correct_directions,active_directions,zero_predictions,zero_targets,positive_targets,negative_targets,mse
430,2025-10-16,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,0.4987103998844055,0.46242625502046886,94,72,94,0,0,34,60,0.003920712693392441
431,2025-10-17,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,0.25991041433370665,0.4487753720873685,95,69,95,0,0,30,65,0.00754561007303647
432,2025-10-20,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,0.10755879059350504,0.2998217369943268,95,58,95,0,0,34,61,0.00424845926027604
433,2025-10-21,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,0.31517357222844344,0.446633531226742,95,65,95,0,0,34,61,0.0068135715715890895
434,2025-10-22,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,0.2610442329227324,0.370316643069773,95,66,95,0,0,30,65,0.0066978644370656315
435,2025-10-23,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,-0.015215565509518476,0.00035669612082412104,95,49,95,0,0,41,54,0.0034820401420922486
436,2025-10-24,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,-0.11187010078387458,-0.044197809188811506,95,48,95,0,0,40,55,0.003634233167556052
437,2025-10-27,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,-0.15261758118701008,-0.10101577624248612,95,41,95,0,0,52,43,0.0025937464861627117
438,2025-10-28,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,-0.005599104143337067,-0.008558483223765295,95,38,95,0,0,49,46,0.0030012037278348037
439,2025-10-29,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,-0.08544232922732364,0.002964878408911254,95,42,95,0,0,45,50,0.002933908812684196
